MCS_value, Channel_width_MHz,  short_GI, Throughput_Mbits_per_s,  Distance_m,Protocol
6,		20 , 		0,		48.7501 , 		5,tcp
6,		20 , 		1,		54.5386 , 		5,tcp
6,		40 , 		0,		97.1168 , 		5,tcp
6,		40 , 		1,		101.544 , 		5,tcp
7,		20 , 		0,		53.4057 , 		5,tcp
7,		20 , 		1,		59.4178 , 		5,tcp
7,		40 , 		0,		108.126 , 		5,tcp
7,		40 , 		1,		117.093 , 		5,tcp
0,		20 , 		0,		5.39119 , 		6,tcp
0,		20 , 		1,		5.89626 , 		6,tcp
0,		40 , 		0,		11.1148 , 		6,tcp
0,		40 , 		1,		12.3868 , 		6,tcp
1,		20 , 		0,		10.7291 , 		6,tcp
1,		20 , 		1,		11.7612 , 		6,tcp
1,		40 , 		0,		22.2865 , 		6,tcp
1,		40 , 		1,		24.6797 , 		6,tcp
2,		20 , 		0,		15.8504 , 		6,tcp
2,		20 , 		1,		17.7432 , 		6,tcp
2,		40 , 		0,		33.5959 , 		6,tcp
2,		40 , 		1,		38.1183 , 		6,tcp
3,		20 , 		0,		21.4756 , 		6,tcp
3,		20 , 		1,		23.6951 , 		6,tcp
3,		40 , 		0,		45.2367 , 		6,tcp
3,		40 , 		1,		50.3232 , 		6,tcp
4,		20 , 		0,		32.0298 , 		6,tcp
4,		20 , 		1,		35.6023 , 		6,tcp
4,		40 , 		0,		66.5744 , 		6,tcp
4,		40 , 		1,		73.5932 , 		6,tcp
5,		20 , 		0,		43.206 , 		6,tcp
5,		20 , 		1,		48.6412 , 		6,tcp
5,		40 , 		0,		86.2649 , 		6,tcp
5,		40 , 		1,		96.1113 , 		6,tcp
6,		20 , 		0,		48.8451 , 		6,tcp
6,		20 , 		1,		54.4772 , 		6,tcp
6,		40 , 		0,		97.1295 , 		6,tcp
6,		40 , 		1,		107.542 , 		6,tcp
7,		20 , 		0,		53.1856 , 		6,tcp
7,		20 , 		1,		59.1004 , 		6,tcp
7,		40 , 		0,		107.116 , 		6,tcp
7,		40 , 		1,		118.466 , 		6,tcp
0,		20 , 		0,		5.33443 , 		7,tcp
0,		20 , 		1,		5.95186 , 		7,tcp
0,		40 , 		0,		11.1716 , 		7,tcp
0,		40 , 		1,		12.2999 , 		7,tcp
1,		20 , 		0,		10.6596 , 		7,tcp
1,		20 , 		1,		11.9454 , 		7,tcp
1,		40 , 		0,		22.356 , 		7,tcp
1,		40 , 		1,		25.2126 , 		7,tcp
2,		20 , 		0,		16.0693 , 		7,tcp
2,		20 , 		1,		17.9876 , 		7,tcp
2,		40 , 		0,		33.392 , 		7,tcp
2,		40 , 		1,		37.5287 , 		7,tcp
3,		20 , 		0,		21.5752 , 		7,tcp
3,		20 , 		1,		23.8827 , 		7,tcp
3,		40 , 		0,		45.1313 , 		7,tcp
3,		40 , 		1,		49.4544 , 		7,tcp
4,		20 , 		0,		31.6892 , 		7,tcp
4,		20 , 		1,		36.5336 , 		7,tcp
4,		40 , 		0,		66.747 , 		7,tcp
4,		40 , 		1,		73.4912 , 		7,tcp
5,		20 , 		0,		42.7206 , 		7,tcp
5,		20 , 		1,		48.0585 , 		7,tcp
5,		40 , 		0,		87.9133 , 		7,tcp
5,		40 , 		1,		96.102 , 		7,tcp
6,		20 , 		0,		48.8312 , 		7,tcp
6,		20 , 		1,		53.9328 , 		7,tcp
6,		40 , 		0,		97.089 , 		7,tcp
6,		40 , 		1,		107.913 , 		7,tcp
7,		20 , 		0,		54.3313 , 		7,tcp
7,		20 , 		1,		59.3251 , 		7,tcp
7,		40 , 		0,		107.533 , 		7,tcp
7,		40 , 		1,		117.995 , 		7,tcp
0,		20 , 		0,		5.32516 , 		8,tcp
0,		20 , 		1,		5.88004 , 		8,tcp
0,		40 , 		0,		11.0789 , 		8,tcp
0,		40 , 		1,		12.3624 , 		8,tcp
1,		20 , 		0,		10.7129 , 		8,tcp
1,		20 , 		1,		11.8493 , 		8,tcp
1,		40 , 		0,		22.144 , 		8,tcp
1,		40 , 		1,		24.616 , 		8,tcp
2,		20 , 		0,		15.9419 , 		8,tcp
2,		20 , 		1,		17.8486 , 		8,tcp
2,		40 , 		0,		33.684 , 		8,tcp
2,		40 , 		1,		37.2345 , 		8,tcp
3,		20 , 		0,		21.3597 , 		8,tcp
3,		20 , 		1,		23.9476 , 		8,tcp
3,		40 , 		0,		44.6332 , 		8,tcp
