FlowID,TX bitrate (kbit/s),RX bitrate (kbit/s),meanDelay [s],PacketLoss (%),Throughput (kbps),Mean jitter (s),Protocol
1835,0.025145088109875913,0.025276153738499407,0.08471643175,0.0,0.024535013177825044,0.09064668233333334,UDP
1836,0.027701912670734092,0.028362621142898437,0.571435035,0.0,0.02699128126843446,0.39179224066666674,UDP
1837,0.02297110408383126,0.02298377508886982,0.015635506333333334,0.0,0.022431240898428153,0.012095905,UDP
1838,0.02198584271588478,0.022132347361582573,0.25591388575,0.0,0.021466688213069757,0.110797158,UDP
1839,0.04471363037950359,0.04476900962109527,0.03016731166666667,0.0,0.04364805653032631,0.0386063684,UDP
1840,0.02773029555155443,0.027745437372255204,0.04018123375,0.0,0.02707693611354218,0.08443650600000001,UDP
1841,0.03384999101450744,0.03606736030033329,0.783264971,0.0,0.03305571461563862,0.74730688675,UDP
1842,0.22104482553970806,0.22088828406585684,0.022438250413793104,0.0,0.2156417329974246,0.02641264342857143,UDP
1843,0.03488010028571161,0.03562308148905102,0.223738248,0.0,0.03398700258897377,0.27071861775,UDP
1844,0.04215293927658447,0.042214723524265814,0.06310322733333334,0.0,0.04116144494649392,0.0969917026,UDP
1845,0,0,0.007763272000000001,0.0,30.190234220828533,0,UDP
1846,0.07412363009327119,0.06310660488810008,0.13774121575,20.0,0.060263093452783925,0.15071655514285714,UDP
1847,0.02804223249931565,0.02802413903317713,0.014858673250000001,0.0,0.027362927099165935,0.019192403333333333,UDP
1848,0.03078821932384974,0.030786531811951633,0.019676191000000003,0.0,0.030052765748984075,0.00384688375,UDP
1849,0.05337921163884245,0.03630236039055682,0.030101675,28.57142857142857,0.03544460893813808,0.02056141275,UDP
1850,0.03716008284778446,0.037181960516659986,0.030489063,0.0,0.03626965897189859,0.028853993,UDP
1851,0.05844642934172072,0.05846963419643381,0.06718651328571429,0.0,0.05704357253629578,0.05180928766666667,UDP
1852,0.07691143687776587,0.06936816165234454,0.23180972600000002,10.0,0.06662545316736992,0.17869262162500002,UDP
1853,0.03664238202684395,0.03660820420617919,0.08983923340000001,0.0,0.03565151840196597,0.06782770325000001,UDP
1854,0.03187593633721021,0.031739198086334124,0.054928417,0.0,0.030987384224585433,0.070076552,UDP
1855,0.08482272039460245,0.08479376012030886,0.0015785306666666668,0.0,0.08280501628672703,0.0017394435000000002,UDP
1856,0.014583115022562895,0.014572031174538605,0.018956826500000003,0.0,0.01422960745117165,0.032546535,UDP
1857,0.0415888123640626,0.041344220812022034,0.13262405500000002,0.0,0.04036739938735928,0.22830586900000002,UDP
1858,0.05092007744660325,0.045827389138359965,0.07477020983333334,14.285714285714285,0.044750672429061514,0.1040612836,UDP
